Empleado_ID,Acción,Departamento,Prioridad,Acción_predecesora
1,Inducción,Operaciones,Media,Firma contrato
2,Activación cuenta,RRHH,Alta,Capacitación
3,Inducción,RRHH,Baja,Activación cuenta
4,Asignación de tareas,Operaciones,Alta,Capacitación
5,Asignación de tareas,RRHH,Media,Asignación de tareas
6,Activación cuenta,RRHH,Baja,Capacitación
7,Capacitación,Operaciones,Alta,Activación cuenta
8,Asignación de tareas,RRHH,Baja,Asignación de tareas
9,Asignación de tareas,Comercial,Alta,Asignación de tareas
10,Capacitación,TI,Media,Asignación de tareas
11,Capacitación,Operaciones,Alta,Asignación de tareas
12,Firma contrato,Comercial,Baja,Firma contrato
13,Activación cuenta,Comercial,Baja,Firma contrato
14,Activación cuenta,RRHH,Media,Activación cuenta
15,Activación cuenta,TI,Media,Asignación de tareas
16,Capacitación,Operaciones,Media,Capacitación
17,Activación cuenta,Operaciones,Media,Capacitación
18,Activación cuenta,Operaciones,Alta,Inducción
19,Capacitación,TI,Media,Capacitación
20,Capacitación,Comercial,Baja,Activación cuenta
21,Firma contrato,Comercial,Baja,Asignación de tareas
22,Inducción,RRHH,Alta,Asignación de tareas
23,Firma contrato,RRHH,Baja,Capacitación
24,Asignación de tareas,RRHH,Baja,Asignación de tareas
25,Firma contrato,Comercial,Media,Firma contrato
26,Firma contrato,RRHH,Alta,Inducción
27,Firma contrato,TI,Baja,Firma contrato
28,Capacitación,Operaciones,Baja,Activación cuenta
29,Firma contrato,Operaciones,Baja,Firma contrato
30,Capacitación,Operaciones,Media,Firma contrato
31,Activación cuenta,TI,Media,Inducción
32,Firma contrato,Comercial,Baja,Capacitación
33,Inducción,RRHH,Media,Activación cuenta
34,Asignación de tareas,Operaciones,Baja,Capacitación
35,Firma contrato,Comercial,Alta,Capacitación
36,Firma contrato,Comercial,Alta,Firma contrato
37,Inducción,Operaciones,Baja,Capacitación
38,Capacitación,Comercial,Media,Asignación de tareas
39,Inducción,Comercial,Media,Capacitación
40,Asignación de tareas,TI,Baja,Inducción
41,Inducción,RRHH,Baja,Inducción
42,Inducción,TI,Alta,Inducción
43,Activación cuenta,TI,Media,Inducción
44,Firma contrato,Operaciones,Alta,Inducción
45,Firma contrato,Comercial,Alta,Firma contrato
46,Inducción,TI,Media,Inducción
47,Capacitación,Operaciones,Media,Inducción
48,Inducción,TI,Baja,Asignación de tareas
49,Inducción,TI,Media,Inducción
50,Activación cuenta,TI,Media,Asignación de tareas
51,Asignación de tareas,Operaciones,Alta,Capacitación
52,Firma contrato,RRHH,Alta,Inducción
53,Capacitación,TI,Alta,Inducción
54,Capacitación,Comercial,Baja,Firma contrato
55,Activación cuenta,Comercial,Baja,Inducción
56,Activación cuenta,TI,Baja,Capacitación
57,Capacitación,TI,Baja,Firma contrato
58,Activación cuenta,Operaciones,Media,Capacitación
59,Asignación de tareas,RRHH,Baja,Activación cuenta
60,Activación cuenta,Operaciones,Media,Asignación de tareas
61,Firma contrato,Comercial,Baja,Inducción
62,Activación cuenta,Comercial,Baja,Asignación de tareas
63,Asignación de tareas,TI,Baja,Capacitación
64,Asignación de tareas,Operaciones,Alta,Asignación de tareas
65,Firma contrato,Comercial,Alta,Firma contrato
66,Inducción,RRHH,Baja,Activación cuenta
67,Activación cuenta,Operaciones,Media,Firma contrato
68,Asignación de tareas,Operaciones,Baja,Firma contrato
69,Firma contrato,Operaciones,Media,Capacitación
70,Capacitación,RRHH,Media,Capacitación
71,Asignación de tareas,Comercial,Baja,Inducción
72,Firma contrato,TI,Media,Activación cuenta
73,Activación cuenta,TI,Media,Asignación de tareas
74,Firma contrato,RRHH,Media,Capacitación
75,Inducción,Operaciones,Media,Capacitación
76,Firma contrato,RRHH,Media,Inducción
77,Capacitación,RRHH,Alta,Activación cuenta
78,Inducción,Operaciones,Alta,Asignación de tareas
79,Activación cuenta,RRHH,Media,Firma contrato
80,Firma contrato,TI,Alta,Firma contrato
81,Firma contrato,TI,Baja,Inducción
82,Asignación de tareas,RRHH,Media,Capacitación
83,Capacitación,RRHH,Alta,Asignación de tareas
84,Firma contrato,RRHH,Baja,Asignación de tareas
85,Activación cuenta,RRHH,Baja,Asignación de tareas
86,Firma contrato,Comercial,Alta,Capacitación
87,Asignación de tareas,RRHH,Alta,Capacitación
88,Firma contrato,TI,Baja,Firma contrato
89,Capacitación,TI,Alta,Asignación de tareas
90,Capacitación,Comercial,Baja,Capacitación
91,Inducción,Comercial,Baja,Firma contrato
92,Capacitación,Operaciones,Alta,Asignación de tareas
93,Activación cuenta,RRHH,Media,Firma contrato
94,Firma contrato,Comercial,Alta,Firma contrato
95,Inducción,RRHH,Media,Firma contrato
96,Asignación de tareas,Comercial,Alta,Inducción
97,Activación cuenta,Comercial,Alta,Asignación de tareas
98,Capacitación,RRHH,Alta,Firma contrato
99,Inducción,TI,Media,Inducción
100,Asignación de tareas,TI,Media,Capacitación
101,Firma contrato,TI,Media,Firma contrato
102,Capacitación,Operaciones,Baja,Capacitación
103,Inducción,TI,Media,Activación cuenta
104,Firma contrato,TI,Media,Firma contrato
105,Firma contrato,RRHH,Alta,Activación cuenta
106,Firma contrato,Operaciones,Baja,Asignación de tareas
