ID,Acción,Tiempo_estimado_min,Requiere_insumo,Prioridad,Acción_previa
1,Instalar ruedas,45,No,Baja,Pintar
2,Control de calidad,37,No,Alta,Pintar
3,Instalar ruedas,36,No,Baja,Ajuste frenos
4,Pintar,22,Sí,Alta,Ensamblar marco
5,Control de calidad,21,Sí,Media,Pintar
6,Control de calidad,18,No,Baja,Pintar
7,Pintar,17,No,Baja,Control de calidad
8,Pintar,16,Sí,Baja,Ensamblar marco
9,Pintar,29,No,Baja,Ensamblar marco
10,Pintar,12,No,Alta,Ajuste frenos
11,Pintar,35,Sí,Media,Ajuste frenos
12,Instalar ruedas,58,No,Baja,Ensamblar marco
13,Instalar ruedas,44,Sí,Media,Instalar ruedas
14,Ajuste frenos,11,Sí,Alta,Instalar ruedas
15,Ajuste frenos,50,Sí,Baja,Ajuste frenos
16,Pintar,35,No,Baja,Control de calidad
17,Pintar,20,No,Alta,Control de calidad
18,Control de calidad,38,No,Alta,Instalar ruedas
19,Ensamblar marco,41,Sí,Alta,Ajuste frenos
20,Pintar,53,No,Alta,Control de calidad
21,Pintar,36,No,Baja,Control de calidad
22,Pintar,38,Sí,Alta,Pintar
23,Control de calidad,43,No,Alta,Pintar
24,Pintar,32,Sí,Alta,Pintar
25,Ensamblar marco,59,No,Media,Ensamblar marco
26,Ensamblar marco,24,No,Media,Pintar
27,Ensamblar marco,19,Sí,Media,Ensamblar marco
28,Ajuste frenos,16,No,Baja,Instalar ruedas
29,Ajuste frenos,56,Sí,Alta,Pintar
30,Instalar ruedas,13,No,Baja,Pintar
31,Instalar ruedas,33,No,Media,Ensamblar marco
32,Ensamblar marco,55,No,Media,Pintar
33,Control de calidad,57,No,Media,Instalar ruedas
34,Ensamblar marco,24,No,Media,Control de calidad
35,Ajuste frenos,28,No,Baja,Ensamblar marco
36,Ajuste frenos,26,Sí,Media,Ensamblar marco
37,Instalar ruedas,44,Sí,Media,Instalar ruedas
38,Control de calidad,20,No,Media,Ajuste frenos
39,Instalar ruedas,42,Sí,Baja,Control de calidad
40,Instalar ruedas,30,Sí,Baja,Pintar
41,Instalar ruedas,26,No,Baja,Ensamblar marco
42,Ensamblar marco,32,Sí,Baja,Ensamblar marco
43,Pintar,39,Sí,Alta,Instalar ruedas
44,Ajuste frenos,47,No,Baja,Pintar
45,Ajuste frenos,18,Sí,Alta,Ensamblar marco
46,Control de calidad,17,Sí,Alta,Instalar ruedas
47,Control de calidad,52,No,Alta,Ensamblar marco
48,Pintar,34,Sí,Media,Pintar
49,Ajuste frenos,46,Sí,Media,Control de calidad
50,Ajuste frenos,55,Sí,Baja,Pintar
51,Control de calidad,30,Sí,Alta,Ensamblar marco
52,Pintar,54,Sí,Baja,Ensamblar marco
53,Instalar ruedas,19,Sí,Alta,Instalar ruedas
54,Pintar,18,No,Alta,Instalar ruedas
55,Control de calidad,50,No,Alta,Ensamblar marco
56,Ajuste frenos,57,Sí,Alta,Ajuste frenos
57,Ensamblar marco,26,No,Alta,Control de calidad
58,Ajuste frenos,44,No,Alta,Ensamblar marco
59,Control de calidad,41,No,Baja,Ajuste frenos
60,Ensamblar marco,20,No,Baja,Ajuste frenos
61,Control de calidad,17,Sí,Alta,Ajuste frenos
62,Pintar,26,Sí,Media,Control de calidad
63,Control de calidad,10,No,Baja,Ensamblar marco
64,Ajuste frenos,11,No,Media,Ajuste frenos
65,Instalar ruedas,13,No,Alta,Ensamblar marco
66,Ajuste frenos,30,No,Alta,Ensamblar marco
67,Control de calidad,37,Sí,Media,Pintar
68,Ensamblar marco,46,Sí,Alta,Ajuste frenos
69,Pintar,43,Sí,Baja,Ensamblar marco
70,Instalar ruedas,23,Sí,Baja,Control de calidad
71,Control de calidad,13,No,Alta,Ensamblar marco
72,Ajuste frenos,45,Sí,Media,Ajuste frenos
73,Instalar ruedas,42,No,Alta,Instalar ruedas
74,Ensamblar marco,55,No,Media,Control de calidad
75,Pintar,12,Sí,Media,Instalar ruedas
76,Instalar ruedas,51,No,Media,Ensamblar marco
77,Ajuste frenos,39,No,Alta,Instalar ruedas
78,Control de calidad,57,Sí,Baja,Pintar
79,Ensamblar marco,45,Sí,Media,Ajuste frenos
80,Ensamblar marco,18,No,Baja,Ajuste frenos
81,Pintar,45,Sí,Alta,Ensamblar marco
82,Ensamblar marco,20,Sí,Media,Pintar
83,Ajuste frenos,54,No,Baja,Instalar ruedas
84,Instalar ruedas,26,Sí,Baja,Ajuste frenos
85,Instalar ruedas,17,Sí,Baja,Ensamblar marco
86,Instalar ruedas,18,Sí,Alta,Ensamblar marco
87,Pintar,16,Sí,Baja,Ajuste frenos
88,Instalar ruedas,26,Sí,Alta,Instalar ruedas
89,Control de calidad,22,Sí,Media,Ajuste frenos
90,Ajuste frenos,38,No,Baja,Pintar
91,Ajuste frenos,47,No,Alta,Ensamblar marco
92,Ajuste frenos,21,No,Baja,Ajuste frenos
93,Instalar ruedas,51,Sí,Media,Ensamblar marco
94,Control de calidad,36,Sí,Media,Pintar
95,Ensamblar marco,28,Sí,Alta,Control de calidad
96,Instalar ruedas,38,No,Baja,Ajuste frenos
97,Instalar ruedas,36,Sí,Alta,Pintar
98,Ajuste frenos,55,Sí,Media,Control de calidad
99,Ensamblar marco,16,Sí,Baja,Control de calidad
100,Pintar,53,No,Baja,Instalar ruedas
101,Pintar,28,Sí,Alta,Ensamblar marco
102,Ensamblar marco,18,Sí,Alta,Instalar ruedas
103,Pintar,41,Sí,Alta,Instalar ruedas
104,Instalar ruedas,40,Sí,Media,Ajuste frenos
105,Ajuste frenos,43,Sí,Media,Ensamblar marco
106,Control de calidad,29,Sí,Media,Pintar
107,Ensamblar marco,33,No,Alta,Ajuste frenos
108,Control de calidad,22,Sí,Baja,Pintar
109,Ensamblar marco,47,Sí,Media,Ajuste frenos
110,Control de calidad,26,Sí,Alta,Instalar ruedas
111,Ajuste frenos,11,Sí,Alta,Control de calidad
112,Control de calidad,59,Sí,Baja,Ensamblar marco
113,Control de calidad,51,No,Baja,Pintar
114,Pintar,54,No,Media,Instalar ruedas
115,Pintar,20,No,Baja,Instalar ruedas
116,Ensamblar marco,46,Sí,Media,Pintar
117,Instalar ruedas,29,No,Media,Ajuste frenos
118,Ajuste frenos,42,No,Media,Control de calidad
119,Instalar ruedas,44,Sí,Media,Ensamblar marco
120,Ensamblar marco,59,Sí,Alta,Pintar
121,Ensamblar marco,46,Sí,Baja,Ensamblar marco
122,Control de calidad,36,No,Alta,Instalar ruedas
123,Ajuste frenos,59,Sí,Baja,Pintar
124,Instalar ruedas,24,Sí,Media,Control de calidad
125,Ajuste frenos,23,No,Alta,Ajuste frenos
126,Ajuste frenos,23,Sí,Alta,Ensamblar marco
127,Instalar ruedas,38,Sí,Media,Pintar
128,Pintar,53,No,Alta,Ensamblar marco
129,Instalar ruedas,51,Sí,Alta,Ensamblar marco
130,Ensamblar marco,53,No,Media,Control de calidad
131,Instalar ruedas,55,Sí,Media,Ensamblar marco
132,Ajuste frenos,28,Sí,Alta,Pintar
133,Ensamblar marco,14,No,Baja,Ensamblar marco
134,Ensamblar marco,10,No,Baja,Pintar
135,Control de calidad,58,No,Baja,Ajuste frenos
136,Control de calidad,23,Sí,Media,Ensamblar marco
137,Ajuste frenos,56,Sí,Baja,Pintar
138,Control de calidad,51,No,Baja,Ajuste frenos
139,Control de calidad,34,No,Baja,Instalar ruedas
140,Ensamblar marco,18,Sí,Alta,Control de calidad
141,Instalar ruedas,47,No,Alta,Control de calidad
142,Instalar ruedas,51,No,Baja,Instalar ruedas
143,Instalar ruedas,32,Sí,Baja,Pintar
144,Control de calidad,24,No,Alta,Instalar ruedas
145,Instalar ruedas,54,No,Media,Control de calidad
146,Ensamblar marco,53,Sí,Baja,Instalar ruedas
147,Pintar,35,No,Media,Pintar
148,Ensamblar marco,45,No,Media,Ajuste frenos
149,Pintar,30,No,Alta,Control de calidad
150,Ensamblar marco,42,Sí,Alta,Control de calidad
151,Pintar,15,Sí,Alta,Ensamblar marco
152,Control de calidad,44,No,Alta,Control de calidad
153,Ensamblar marco,20,Sí,Media,Ensamblar marco
154,Ajuste frenos,29,No,Media,Instalar ruedas
155,Ensamblar marco,40,Sí,Media,Pintar
156,Instalar ruedas,13,Sí,Alta,Pintar
157,Ensamblar marco,16,Sí,Media,Ajuste frenos
158,Control de calidad,20,No,Media,Instalar ruedas
159,Ensamblar marco,43,No,Baja,Ajuste frenos
160,Pintar,58,Sí,Baja,Control de calidad
161,Control de calidad,53,Sí,Baja,Ajuste frenos
162,Control de calidad,42,Sí,Alta,Control de calidad
163,Ajuste frenos,31,Sí,Alta,Ensamblar marco
164,Control de calidad,24,Sí,Alta,Pintar
165,Instalar ruedas,51,No,Media,Ensamblar marco
166,Pintar,31,No,Baja,Instalar ruedas
167,Ensamblar marco,56,Sí,Media,Instalar ruedas
168,Ajuste frenos,16,Sí,Baja,Control de calidad
169,Instalar ruedas,30,Sí,Alta,Ajuste frenos
170,Ajuste frenos,14,Sí,Alta,Ajuste frenos
171,Ensamblar marco,10,Sí,Media,Instalar ruedas
172,Instalar ruedas,57,Sí,Alta,Pintar
173,Control de calidad,35,No,Baja,Ensamblar marco
174,Instalar ruedas,22,No,Media,Pintar
175,Instalar ruedas,47,Sí,Media,Ensamblar marco
176,Ensamblar marco,38,Sí,Media,Control de calidad
177,Pintar,18,No,Media,Control de calidad
178,Pintar,59,No,Baja,Ajuste frenos
179,Control de calidad,35,Sí,Alta,Control de calidad
180,Pintar,18,Sí,Alta,Pintar
181,Ensamblar marco,58,Sí,Baja,Ensamblar marco
182,Pintar,48,No,Alta,Instalar ruedas
183,Instalar ruedas,57,Sí,Media,Ajuste frenos
184,Ajuste frenos,13,No,Media,Control de calidad
185,Instalar ruedas,34,No,Baja,Pintar
186,Control de calidad,10,No,Media,Pintar
187,Ensamblar marco,25,No,Media,Ajuste frenos
188,Instalar ruedas,55,Sí,Baja,Pintar
189,Pintar,51,Sí,Alta,Pintar
190,Control de calidad,49,No,Media,Control de calidad
191,Control de calidad,41,No,Baja,Ajuste frenos
192,Instalar ruedas,46,No,Media,Ajuste frenos
193,Instalar ruedas,31,Sí,Baja,Pintar
194,Instalar ruedas,38,Sí,Baja,Ensamblar marco
195,Ensamblar marco,40,No,Baja,Instalar ruedas
196,Instalar ruedas,59,No,Media,Ajuste frenos
197,Instalar ruedas,14,No,Media,Pintar
198,Ajuste frenos,38,No,Media,Ensamblar marco
199,Ajuste frenos,14,No,Media,Instalar ruedas
200,Control de calidad,36,Sí,Media,Ajuste frenos
201,Ajuste frenos,53,Sí,Baja,Pintar
202,Control de calidad,12,Sí,Media,Instalar ruedas
203,Control de calidad,41,Sí,Media,Pintar
204,Instalar ruedas,24,Sí,Media,Instalar ruedas
205,Instalar ruedas,50,No,Baja,Pintar
206,Ajuste frenos,37,Sí,Media,Instalar ruedas
207,Instalar ruedas,10,Sí,Alta,Instalar ruedas
208,Instalar ruedas,40,Sí,Alta,Ajuste frenos
209,Ensamblar marco,31,Sí,Baja,Ajuste frenos
210,Ensamblar marco,35,Sí,Alta,Ajuste frenos
211,Instalar ruedas,56,Sí,Media,Instalar ruedas
