Pedido_ID,Zona,Hora_disponibilidad,Acción,Vehículo_asignado,Acción_antes
1,Centro,2025-07-01 08:00:00,Cargar vehículo,VAN-703,Ruta principal
2,Este,2025-07-01 08:01:00,Cargar vehículo,VAN-774,Entrega
3,Norte,2025-07-01 08:02:00,Recoger pedido,VAN-417,Ruta principal
4,Este,2025-07-01 08:03:00,Cargar vehículo,VAN-353,Recoger pedido
5,Oeste,2025-07-01 08:04:00,Confirmación,VAN-489,Ruta principal
6,Norte,2025-07-01 08:05:00,Recoger pedido,VAN-902,Recoger pedido
7,Sur,2025-07-01 08:06:00,Entrega,VAN-872,Entrega
8,Norte,2025-07-01 08:07:00,Recoger pedido,VAN-131,Cargar vehículo
9,Norte,2025-07-01 08:08:00,Ruta principal,VAN-670,Entrega
10,Oeste,2025-07-01 08:09:00,Confirmación,VAN-307,Cargar vehículo
11,Oeste,2025-07-01 08:10:00,Confirmación,VAN-668,Entrega
12,Norte,2025-07-01 08:11:00,Cargar vehículo,VAN-217,Confirmación
13,Este,2025-07-01 08:12:00,Recoger pedido,VAN-795,Entrega
14,Norte,2025-07-01 08:13:00,Ruta principal,VAN-574,Ruta principal
15,Sur,2025-07-01 08:14:00,Ruta principal,VAN-695,Confirmación
16,Centro,2025-07-01 08:15:00,Recoger pedido,VAN-403,Recoger pedido
17,Este,2025-07-01 08:16:00,Recoger pedido,VAN-897,Entrega
18,Oeste,2025-07-01 08:17:00,Confirmación,VAN-702,Ruta principal
19,Norte,2025-07-01 08:18:00,Entrega,VAN-277,Entrega
20,Sur,2025-07-01 08:19:00,Recoger pedido,VAN-360,Cargar vehículo
21,Sur,2025-07-01 08:20:00,Cargar vehículo,VAN-110,Ruta principal
22,Sur,2025-07-01 08:21:00,Cargar vehículo,VAN-362,Entrega
23,Oeste,2025-07-01 08:22:00,Ruta principal,VAN-693,Confirmación
24,Centro,2025-07-01 08:23:00,Cargar vehículo,VAN-441,Ruta principal
25,Sur,2025-07-01 08:24:00,Confirmación,VAN-845,Entrega
26,Oeste,2025-07-01 08:25:00,Cargar vehículo,VAN-457,Entrega
27,Centro,2025-07-01 08:26:00,Ruta principal,VAN-574,Cargar vehículo
28,Norte,2025-07-01 08:27:00,Ruta principal,VAN-687,Recoger pedido
29,Sur,2025-07-01 08:28:00,Cargar vehículo,VAN-366,Confirmación
30,Oeste,2025-07-01 08:29:00,Cargar vehículo,VAN-731,Cargar vehículo
31,Centro,2025-07-01 08:30:00,Recoger pedido,VAN-819,Ruta principal
32,Oeste,2025-07-01 08:31:00,Cargar vehículo,VAN-167,Confirmación
33,Norte,2025-07-01 08:32:00,Ruta principal,VAN-592,Recoger pedido
34,Este,2025-07-01 08:33:00,Ruta principal,VAN-619,Entrega
35,Centro,2025-07-01 08:34:00,Entrega,VAN-887,Recoger pedido
36,Sur,2025-07-01 08:35:00,Recoger pedido,VAN-864,Recoger pedido
37,Este,2025-07-01 08:36:00,Confirmación,VAN-289,Ruta principal
38,Este,2025-07-01 08:37:00,Cargar vehículo,VAN-602,Recoger pedido
39,Norte,2025-07-01 08:38:00,Recoger pedido,VAN-820,Ruta principal
40,Sur,2025-07-01 08:39:00,Entrega,VAN-500,Recoger pedido
41,Centro,2025-07-01 08:40:00,Cargar vehículo,VAN-304,Ruta principal
42,Oeste,2025-07-01 08:41:00,Cargar vehículo,VAN-750,Confirmación
43,Centro,2025-07-01 08:42:00,Entrega,VAN-624,Ruta principal
44,Centro,2025-07-01 08:43:00,Cargar vehículo,VAN-103,Cargar vehículo
45,Centro,2025-07-01 08:44:00,Cargar vehículo,VAN-289,Entrega
46,Norte,2025-07-01 08:45:00,Cargar vehículo,VAN-801,Recoger pedido
47,Centro,2025-07-01 08:46:00,Recoger pedido,VAN-143,Entrega
48,Sur,2025-07-01 08:47:00,Ruta principal,VAN-587,Entrega
49,Sur,2025-07-01 08:48:00,Ruta principal,VAN-111,Recoger pedido
50,Norte,2025-07-01 08:49:00,Cargar vehículo,VAN-148,Confirmación
51,Norte,2025-07-01 08:50:00,Entrega,VAN-992,Confirmación
52,Sur,2025-07-01 08:51:00,Cargar vehículo,VAN-520,Entrega
53,Norte,2025-07-01 08:52:00,Recoger pedido,VAN-566,Entrega
54,Centro,2025-07-01 08:53:00,Ruta principal,VAN-953,Cargar vehículo
55,Este,2025-07-01 08:54:00,Entrega,VAN-533,Entrega
56,Centro,2025-07-01 08:55:00,Confirmación,VAN-189,Confirmación
57,Norte,2025-07-01 08:56:00,Confirmación,VAN-584,Cargar vehículo
58,Centro,2025-07-01 08:57:00,Confirmación,VAN-532,Ruta principal
59,Este,2025-07-01 08:58:00,Cargar vehículo,VAN-245,Confirmación
60,Sur,2025-07-01 08:59:00,Ruta principal,VAN-258,Confirmación
61,Oeste,2025-07-01 09:00:00,Ruta principal,VAN-302,Ruta principal
62,Centro,2025-07-01 09:01:00,Entrega,VAN-811,Recoger pedido
63,Centro,2025-07-01 09:02:00,Confirmación,VAN-996,Cargar vehículo
64,Este,2025-07-01 09:03:00,Recoger pedido,VAN-922,Cargar vehículo
65,Norte,2025-07-01 09:04:00,Confirmación,VAN-801,Cargar vehículo
66,Centro,2025-07-01 09:05:00,Recoger pedido,VAN-817,Recoger pedido
67,Centro,2025-07-01 09:06:00,Cargar vehículo,VAN-611,Cargar vehículo
68,Este,2025-07-01 09:07:00,Entrega,VAN-415,Cargar vehículo
69,Este,2025-07-01 09:08:00,Recoger pedido,VAN-953,Recoger pedido
70,Centro,2025-07-01 09:09:00,Confirmación,VAN-709,Cargar vehículo
71,Norte,2025-07-01 09:10:00,Cargar vehículo,VAN-584,Recoger pedido
72,Norte,2025-07-01 09:11:00,Confirmación,VAN-263,Entrega
73,Este,2025-07-01 09:12:00,Cargar vehículo,VAN-297,Ruta principal
74,Norte,2025-07-01 09:13:00,Recoger pedido,VAN-728,Recoger pedido
75,Sur,2025-07-01 09:14:00,Confirmación,VAN-793,Ruta principal
76,Este,2025-07-01 09:15:00,Recoger pedido,VAN-937,Cargar vehículo
77,Sur,2025-07-01 09:16:00,Entrega,VAN-216,Ruta principal
78,Centro,2025-07-01 09:17:00,Entrega,VAN-591,Ruta principal
79,Oeste,2025-07-01 09:18:00,Recoger pedido,VAN-828,Recoger pedido
80,Sur,2025-07-01 09:19:00,Recoger pedido,VAN-437,Cargar vehículo
81,Centro,2025-07-01 09:20:00,Recoger pedido,VAN-863,Entrega
82,Este,2025-07-01 09:21:00,Recoger pedido,VAN-670,Ruta principal
83,Oeste,2025-07-01 09:22:00,Entrega,VAN-570,Ruta principal
84,Oeste,2025-07-01 09:23:00,Ruta principal,VAN-415,Ruta principal
85,Oeste,2025-07-01 09:24:00,Cargar vehículo,VAN-389,Recoger pedido
86,Sur,2025-07-01 09:25:00,Confirmación,VAN-887,Confirmación
87,Sur,2025-07-01 09:26:00,Recoger pedido,VAN-769,Recoger pedido
88,Este,2025-07-01 09:27:00,Recoger pedido,VAN-967,Cargar vehículo
89,Este,2025-07-01 09:28:00,Recoger pedido,VAN-129,Recoger pedido
90,Centro,2025-07-01 09:29:00,Entrega,VAN-879,Recoger pedido
91,Centro,2025-07-01 09:30:00,Confirmación,VAN-997,Ruta principal
92,Este,2025-07-01 09:31:00,Ruta principal,VAN-310,Entrega
93,Oeste,2025-07-01 09:32:00,Cargar vehículo,VAN-112,Confirmación
94,Sur,2025-07-01 09:33:00,Entrega,VAN-633,Entrega
95,Norte,2025-07-01 09:34:00,Confirmación,VAN-963,Cargar vehículo
96,Norte,2025-07-01 09:35:00,Confirmación,VAN-289,Recoger pedido
97,Sur,2025-07-01 09:36:00,Entrega,VAN-482,Recoger pedido
98,Este,2025-07-01 09:37:00,Recoger pedido,VAN-543,Entrega
99,Norte,2025-07-01 09:38:00,Entrega,VAN-637,Entrega
100,Norte,2025-07-01 09:39:00,Ruta principal,VAN-882,Ruta principal
101,Oeste,2025-07-01 09:40:00,Recoger pedido,VAN-544,Entrega
102,Norte,2025-07-01 09:41:00,Confirmación,VAN-267,Ruta principal
103,Oeste,2025-07-01 09:42:00,Cargar vehículo,VAN-364,Recoger pedido
104,Centro,2025-07-01 09:43:00,Recoger pedido,VAN-693,Cargar vehículo
105,Norte,2025-07-01 09:44:00,Ruta principal,VAN-496,Cargar vehículo
106,Norte,2025-07-01 09:45:00,Cargar vehículo,VAN-402,Confirmación
107,Centro,2025-07-01 09:46:00,Entrega,VAN-543,Entrega
108,Este,2025-07-01 09:47:00,Cargar vehículo,VAN-452,Confirmación
109,Sur,2025-07-01 09:48:00,Ruta principal,VAN-414,Cargar vehículo
110,Este,2025-07-01 09:49:00,Confirmación,VAN-566,Cargar vehículo
111,Norte,2025-07-01 09:50:00,Entrega,VAN-422,Entrega
112,Sur,2025-07-01 09:51:00,Entrega,VAN-122,Confirmación
113,Norte,2025-07-01 09:52:00,Recoger pedido,VAN-278,Entrega
114,Oeste,2025-07-01 09:53:00,Entrega,VAN-770,Cargar vehículo
115,Norte,2025-07-01 09:54:00,Cargar vehículo,VAN-846,Ruta principal
116,Norte,2025-07-01 09:55:00,Recoger pedido,VAN-287,Confirmación
117,Oeste,2025-07-01 09:56:00,Cargar vehículo,VAN-224,Confirmación
118,Norte,2025-07-01 09:57:00,Cargar vehículo,VAN-908,Recoger pedido
119,Norte,2025-07-01 09:58:00,Recoger pedido,VAN-952,Cargar vehículo
120,Sur,2025-07-01 09:59:00,Recoger pedido,VAN-313,Recoger pedido
121,Oeste,2025-07-01 10:00:00,Confirmación,VAN-184,Cargar vehículo
122,Centro,2025-07-01 10:01:00,Entrega,VAN-531,Recoger pedido
123,Centro,2025-07-01 10:02:00,Recoger pedido,VAN-640,Entrega
124,Centro,2025-07-01 10:03:00,Entrega,VAN-394,Recoger pedido
125,Oeste,2025-07-01 10:04:00,Recoger pedido,VAN-674,Recoger pedido
126,Oeste,2025-07-01 10:05:00,Recoger pedido,VAN-458,Cargar vehículo
127,Centro,2025-07-01 10:06:00,Recoger pedido,VAN-180,Cargar vehículo
128,Sur,2025-07-01 10:07:00,Ruta principal,VAN-262,Ruta principal
129,Este,2025-07-01 10:08:00,Ruta principal,VAN-827,Recoger pedido
130,Este,2025-07-01 10:09:00,Cargar vehículo,VAN-539,Confirmación
131,Norte,2025-07-01 10:10:00,Recoger pedido,VAN-648,Recoger pedido
132,Norte,2025-07-01 10:11:00,Cargar vehículo,VAN-824,Cargar vehículo
133,Sur,2025-07-01 10:12:00,Recoger pedido,VAN-531,Confirmación
134,Este,2025-07-01 10:13:00,Cargar vehículo,VAN-360,Confirmación
135,Este,2025-07-01 10:14:00,Cargar vehículo,VAN-769,Cargar vehículo
136,Sur,2025-07-01 10:15:00,Recoger pedido,VAN-580,Ruta principal
